1779.089	10.088
1779.088	10.125
1779.087	10.167
1779.084	10.214
1779.082	10.266
1779.08	10.323
1779.078	10.385
1779.075	10.451
1779.072	10.522
1779.068	10.599
1779.065	10.682
1779.061	10.772
1779.056	10.867
1779.053	10.968
1779.05	11.074
1779.046	11.185
1779.043	11.301
1779.04	11.423
1779.036	11.548
1779.03	11.678
1779.025	11.812
1779.019	11.952
1779.014	12.096
1779.009	12.244
1779.002	12.395
1778.995	12.549
1778.988	12.704
1778.981	12.863
1778.976	13.025
1778.972	13.188
1778.966	13.354
1778.962	13.523
1778.96	13.695
1778.958	13.868
1778.958	14.043
1778.957	14.218
1778.952	14.396
1778.947	14.574
1778.941	14.754
1778.935	14.938
1778.929	15.123
1778.925	15.308
1778.921	15.493
1778.918	15.678
1778.914	15.864
1778.907	16.054
1778.901	16.246
1778.896	16.437
1778.893	16.63
1778.89	16.824
1778.883	17.02
1778.877	17.22
1778.87	17.425
1778.865	17.633
1778.858	17.839
1778.851	18.046
1778.847	18.254
1778.844	18.463
1778.844	18.675
1778.841	18.89
1778.832	19.106
1778.824	19.326
1778.82	19.549
1778.817	19.774
1778.813	20.001
1778.809	20.231
1778.802	20.463
1778.791	20.697
1778.784	20.932
1778.783	21.168
1778.782	21.406
1778.777	21.646
1778.77	21.887
1778.764	22.129
1778.759	22.374
1778.753	22.621
1778.746	22.871
1778.742	23.126
1778.739	23.382
1778.734	23.639
1778.729	23.898
1778.722	24.159
1778.715	24.424
1778.713	24.69
1778.709	24.958
1778.705	25.228
1778.703	25.5
1778.702	25.775
1778.701	26.05
1778.7	26.325
1778.697	26.604
1778.696	26.887
1778.695	27.171
1778.695	27.458
1778.693	27.748
1778.691	28.039
1778.689	28.334
1778.688	28.63
1778.686	28.928
1778.685	29.231
1778.684	29.535
1778.685	29.841
1778.683	30.148
1778.682	30.459
1778.68	30.771
1778.678	31.083
1778.675	31.395
1778.673	31.708
1778.672	32.021
1778.67	32.335
1778.667	32.649
1778.665	32.963
1778.663	33.279
1778.66	33.595
1778.657	33.911
1778.655	34.226
1778.653	34.542
1778.651	34.859
1778.65	35.177
1778.649	35.494
1778.646	35.812
1778.643	36.131
1778.64	36.449
1778.637	36.769
1778.635	37.089
1778.631	37.41
1778.628	37.732
1778.625	38.055
1778.62	38.379
1778.615	38.705
1778.609	39.032
1778.604	39.36
1778.6	39.689
1778.594	40.019
1778.586	40.349
1778.58	40.68
1778.572	41.012
1778.563	41.344
1778.555	41.678
1778.547	42.011
1778.539	42.347
1778.532	42.683
1778.522	43.02
1778.512	43.357
1778.503	43.696
1778.494	44.035
1778.484	44.375
1778.477	44.716
1778.469	45.055
1778.462	45.393
1778.454	45.733
1778.449	46.073
1778.444	46.414
